r_id,r_date,age,campus,class,ethnicity,gender,housing,housing_actual,status,vet,worker,drive,license,mode,mode_cat,camp_camp,camp_cat,park_campus_week,park_campus_days,tocamp_week,travel_time,travel_distance,main_route,region,informed,email_freq,email_read,email_subject,email_rules,rule_not_read,parking_ed,zip,x,y,park_pref,park_pref_2,park_permit,permit_type,permit_type_2,no_permit_why,no_permit,goldvgreen,greenvgold,lots_campus,park_where,park_awarness,park_avalible,park_first_choice,drive_res_class,drive_res_class_days,res_park,res_park2,mills_campus_peak,park_pref_peak,bv_campus_peak,centeral_camp_peak,lot_full,circle_time,comments,rate_overall_group,rate_overall,rate_maintenance,rate_online,rate_staff,rate_officers,rate_lot_safety,rate_clean,reason_no_vehicle,why_no_license,drop_off,rideshare_camp
782,3/25/2024,20,Main,Senior,White Non-Hisp,Female,Off,Off-Campus,Part-time,,Student Wage Worker,Yes,,Drive,Drive,Walk,Walk,5 days,5,,15,10,Aquarena Springs,,Text Message,Less than I would like,Most of the time,,No: I have read nOne of the Rules and RegulatiOns,Too long,Might or might not,78666,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,,,,,,,Sewell North Lot (P14),Closest to class,"Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",Bobcat Stadium (P10W),,,,,,,,,,Park in an available purple Perimeter (P) lot and ride the bus or walk.,,"Lower the parking ticket cost! $40 is ridiculous,. Quite cOnstructing new buildings in places that used to be parking lots. If you have to build more buildings because of an influx in students, then limit the number of students attending the university. Change red lots to purple lots. There are so many red lots On campus, and they are NEVER completely full. Students should be able to use those spots when they are open and not be punished for it.",Detractor,1,Extremely dissatisfied,Somewhat difficult,Somewhat satisfied,Extremely dissatisfied,Neither satisfied nor dissatisfied,Extremely dissatisfied,,,,
783,3/25/2024,37,Main,Masters,White Non-Hisp,Male,Off,Off-Campus,Part-time,,,Yes,,Drive,Drive,Walk,Walk,1 day,1,,15,10,Hopkins,,Email,About right,Sometimes,Always,Yes: I have read all of the Rules and RegulatiOns,,Probably yes,78130,,,Off-campus Pay to Park lot,Off-campus PTP,No,,,"Permit cost is too high, Available parking is incOnvenient for me, Did not want to ride the Bobcat Shuttle from available parking",Available parking is incOnvenient for me,,,,,,,,,,,,,,,,,,More cOnvenient parking for commuters. My classes as at the UAC building and On campus parking is nowhere near where I need to go. I park in private pay lots due to the ease in which to get to class and the limited time I have before and after class due to work.,Detractor,3,Extremely satisfied,Neither easy nor difficult,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Extremely satisfied,,,,
784,3/25/2024,19,Main,Sophomore,Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,Drive,Drive,"Drive,Walk,Catch a ride / Carpool","Drive, Walk, Catch a ride / Carpool",6 days,6,,0,0,Aquarena Springs,Region #7,Email,Less than I would like,Never,Sometimes,No: I have read nOne of the Rules and RegulatiOns,Not interested,Probably not,78666,903,473,"Free parking On a city or neighborhood street,The LBJ Student Center Parking Garage (pay by the hour),The Edward Gary Parking Garage (pay by the hour)","Free parking on a city or neighborhood street, LBJ PTP, Edward Gary PTP",No,,,Permit cost is too high,,,,,,,,,,,,,,,,,,,"hOnestly, the people at parking services usually are just rude, and the prices for permits are ridiculous",Detractor,1,Somewhat satisfied,Somewhat easy,Extremely dissatisfied,Extremely dissatisfied,Somewhat satisfied,Neither satisfied nor dissatisfied,,,,
785,3/25/2024,19,Main,Sophomore,White Non-Hisp,Female,Off,Off-Campus,Full-time,Veteran Dependent,,Yes,,Bobcat Shuttle,Alternative,Walk,Walk,0 days,0,,0,5,,,Text Message,About right,Sometimes,Sometimes,Some: I have read some parts of the Rules and RegulatiOns,Too long,Probably yes,78666,,,The LBJ Student Center Parking Garage (pay by the hour),LBJ PTP,No,,,"Permit cost is too high, Do not believe there is available parking",Do not believe there is available parking,,,,,,,,,,,,,,,,,,"do not sell parking passes if there is not room. i lived at falls hall last year and had my car there was barely parking and if there was it was the big parking garage which is about an 8 min walk. not bad but when carrying groceries, luggage, anything it’s bad. the garage closes to falls people would just go around and around hoping for parking. i also live Off campus now because we could not live in the dorms after freshman year and if i want to park On campus i have to pay. i had a scholarship ceremOny and i had to pay to park and my mom. we do not have a lot of mOney and the little cost also matter",Detractor,2,Neither satisfied nor dissatisfied,Neither easy nor difficult,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Neither satisfied nor dissatisfied,,,,
786,3/25/2024,21,Main,Senior,Hisp,Female,Off,Off-Campus,Full-time,,Student Wage Worker,Yes,,Bobcat Shuttle,Alternative,Walk,Walk,4 days,4,,0,0,,,Text Message,About right,Most of the time,,Some: I have read some parts of the Rules and RegulatiOns,Too long,Probably yes,,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,No,,,"Permit cost is too high, Purchase temporary permits as needed",Purchase temporary permits as needed,,,,,,,,,,,,,,,,,,,Passive,7,Somewhat satisfied,Extremely easy,Somewhat satisfied,Extremely satisfied,Extremely satisfied,Somewhat satisfied,,,,
787,3/25/2024,19,Main,Junior,Asian,Male,Off,Off-Campus,Full-time,,,Yes,,"Drive, Bobcat Shuttle, Other, Other","Drive, Alternative, Other, Other",Walk,Walk,4 days,4,,30,5,N. LBJ Dr. at Woods St.,,Email,About right,Sometimes,Always,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Probably yes,7866,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,,,,,,,Bobcat Stadium West Lot (P10W),Lot most likely to have available spaces,"Mill St (P12),Bobcat Stadium East (P10E),Bobcat Stadium (P10W)","Bobcat Stadium East (P10E),Bobcat Stadium (P10W)","Mill St (P12),Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",,,,,,,,,Circle until a space becomes available,5 to 15 minutes,"Make commuter parking available On campus. The Only commuter parking locatiOns are too far from classes to walk On foot which results me in having to take a shuttle, which turns my 15 minute drive to campus into a 35-45 minute total commute. I will very likely not be buying a parking pass next year as it was not worth the mOney cOnsidering that I dOn't even get to park On campus.",Detractor,2,Somewhat dissatisfied,Somewhat easy,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Neither satisfied nor dissatisfied,,,,
788,3/25/2024,20,Main,Senior,White Non-Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,Drive,Drive,Drive,Drive,7 days,7,,15,10,Other,,Text Message,Less than I would like,Sometimes,Always,Some: I have read some parts of the Rules and RegulatiOns,Too confusing,Probably yes,78133,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,,,,,,,"Other, please specify:",Lot most likely to have available spaces,"Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",,,,,,,,,,,Circle until a space becomes available,15 to 30 minutes,"I would say to improve On the parking Officer's training mostly. I was ticketed because a man didn't run the plate number On my car. The Only reasOn I was able to get it nullified was because he was still in frOnt of my car in a cOnversatiOn with another woman. During this cOnversatiOn, the male parking Officer was very rude and hOnesty made me very angry because his tOne was unfair towards her. After she left, I asked why I got a ticket and he said it was because I didn't have a parking pass with Texas State (I did). I then told him to run my plate number in frOnt of me because I knew I had One. After all, I always purchase a year-lOng pass for my car(aka my 2023-2024 parking permit) to save mOney. He entered my plate number and admitted that he hadn't run it beforehand, at this point I was furious at the error made and cOnfused about his intelligence. He apologized, took my ticket from my hands, and quickly left the FCS lot On 01/23/2024.",Detractor,0,Somewhat dissatisfied,Somewhat easy,Neither satisfied nor dissatisfied,Extremely dissatisfied,Somewhat dissatisfied,Extremely dissatisfied,,,,
789,3/25/2024,27,Main,Senior,White Non-Hisp,Male,Off,Off-Campus,Part-time,,,Yes,,Drive,Drive,"Drive,Bobcat Shuttle,Walk","Drive, Bobcat Shuttle, Walk",4 days,4,,0,5,Aquarena Springs,Region #8,Text Message,More than I would like,Sometimes,Always,No: I have read nOne of the Rules and RegulatiOns,"other, please specify:",Probably yes,78666,1090,374,"A university lot or garage - with the correct parking permit,Free parking On a city or neighborhood street,The LBJ Student Center Parking Garage (pay by the hour)","A university lot or garage - with the correct parking permit, Free parking on a city or neighborhood street, LBJ PTP",Yes,,,,,,,Bobcat Stadium East Lot (P10E),Easiest lot to get to,"Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",Bobcat Stadium (P10W),"Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",,,,,,,,,Circle until a space becomes available,Less than 5 minutes,More parking. Closer parking. I hate the Bobcat Shuttle I have beef with all the drivers except that old guy that tells dad jokes.,Detractor,0,Extremely dissatisfied,Neither easy nor difficult,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,,,,
790,3/25/2024,19,Main,Freshman,Black/Af Am,Male,On,JacksOn Hall,Full-time,Veteran Dependent,,Yes,,,,"Drive,Bobcat Shuttle,Walk,Nite Cats","Drive, Bobcat Shuttle, Walk, Nite Cats",0 days,0,,,,,,Text Message,About right,Never,Never,No: I have read nOne of the Rules and RegulatiOns,Not interested,Definitely not,,,,"A university lot or garage - with the correct parking permit,A university lot or garage - without the correct parking permit,First available spot, regardless of restrictiOns","A university lot or garage - with the correct parking permit, A university lot or garage - without the correct parking permit, First available spot, Free parking on a city or neighborhood street",Yes,Gold Mill Street/Residence Hall Permit (less expensive),Gold,,,Price,,,,,,,,,,,No,,,,Circle until a space becomes available,5 to 15 minutes,Genuinely hate y’all,Detractor,0,Extremely dissatisfied,Neither easy nor difficult,Extremely dissatisfied,Extremely dissatisfied,Extremely dissatisfied,Extremely dissatisfied,,,,
791,3/25/2024,23,Main,Junior,Unknown,Female,Off,Off-Campus,Full-time,,,Yes,,"Drive, Walk, Carpool, Drop off","Drive, Active, Alternative, Alternative",Walk,Walk,2 days,2,,45,30,Aquarena Springs,,Email,Less than I would like,Always,,Yes: I have read all of the Rules and RegulatiOns,,Definitely yes,78620,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,,,,,,,Aquarena Springs (previously Coliseum) Lot (P9 ),Closest to class,,,,,,,,,,,,My preferred lot does not get full,,I enjoy the parking that I have used during my time at Texas State so far and myself and my brother drive to campus everyday of the week and have not had too many problems so far.,Promoter,9,Extremely satisfied,Somewhat easy,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Extremely satisfied,,,"Student parking lot, educatiOn building",
792,3/26/2024,23,Main,Senior,White Non-Hisp,Male,Off,Off-Campus,Full-time,,,Yes,,Drive,Drive,Drive,Drive,5 days,5,,15,20,Aquarena Springs,,Text Message,About right,Sometimes,Never,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Definitely yes,78747,,,The LBJ Student Center Parking Garage (pay by the hour),LBJ PTP,Yes,,,,,,,Speck Garage (C13),Closest to class,,,,,,,,,,,,My preferred lot does not get full,,,Detractor,6,Somewhat satisfied,Somewhat difficult,Somewhat dissatisfied,Somewhat satisfied,Extremely satisfied,Somewhat satisfied,,,,
793,3/26/2024,18,Main,Freshman,Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,Drive,Drive,Walk,Walk,4 days,4,,15,10,N. LBJ Dr. at Sessom Dr.,,Text Message,About right,About half the time,About half the time,Yes: I have read all of the Rules and RegulatiOns,,Probably yes,78130,,,The Edward Gary Parking Garage (pay by the hour),Edward Gary PTP,No,,,"Permit cost is too high, Available parking is incOnvenient for me",Available parking is incOnvenient for me,,,,,,,,,,,,,,,,,,use tuitiOn and fees for parking services,Detractor,5,Somewhat satisfied,Neither easy nor difficult,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Extremely satisfied,,,,
794,3/26/2024,43,Main,Doctoral,White Non-Hisp,Female,Off,Off-Campus,Part-time,,GA,Yes,,Drive,Drive,Walk,Walk,1 day,1,,30,10,N. LBJ Dr. at Sessom Dr.,,Email,About right,Sometimes,Most of the time,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Probably yes,78155,,,"A university lot or garage - with the correct parking permit,The Edward Gary Parking Garage (pay by the hour)","A university lot or garage - with the correct parking permit, Edward Gary PTP",Yes,,,,,,,Bobcat Stadium East Lot (P10E),Lot most likely to have available spaces,"Bobcat Stadium East (P10E),Bobcat Stadium (P10W)","Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",,,,,,,,,,Park in a Pay-to-Park garage,,,Detractor,4,Neither satisfied nor dissatisfied,Extremely difficult,Extremely dissatisfied,Somewhat satisfied,Somewhat dissatisfied,Somewhat satisfied,,,,
795,3/26/2024,29,Main,Masters,Hisp,Male,Off,Off-Campus,Part-time,,,Yes,,"Carpool, Drop off","Alternative, Alternative",Walk,Walk,1 day,1,,0,0,,,Social Media,More than I would like,Never,About half the time,No: I have read nOne of the Rules and RegulatiOns,"other, please specify:",Definitely not,78666,,,"A university lot or garage - without the correct parking permit,The Edward Gary Parking Garage (pay by the hour)","A university lot or garage - without the correct parking permit, Edward Gary PTP",No,,,"Permit cost is too high, Purchase temporary permits as needed",Permit cost is too high,,,,,,,,,,,,,,,,,,"Any amount of free parking would be nice, or at least free parking if parking very late, for evening classes. As a full time teacher getting their master's, I already pay a lot for tuitiOn, and having free access to parking would make my life, as well as the life of other adults returning to college (whether for their undergrad or grad degrees)much easier. It would be very cOnscientious of you all.",Detractor,4,Neither satisfied nor dissatisfied,Somewhat difficult,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,,,"Near the music building, in the parking garage",
796,3/26/2024,20,Main,Senior,White Non-Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,"Drive, Bobcat Shuttle","Drive, Alternative",Walk,Walk,5 days,5,,0,5,Aquarena Springs,,Email,About right,Always,,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Definitely yes,78666,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,,,,,,,Aquarena Springs (previously Coliseum) Lot (P9 ),Closest to class,"Mill St (P12),Bobcat Stadium East (P10E),Bobcat Stadium (P10W)","Mill St (P12),Bobcat Stadium East (P10E),Bobcat Stadium (P10W)","Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",,,,,,,,,Circle until a space becomes available,5 to 15 minutes,,Detractor,4,Extremely satisfied,Extremely easy,Extremely satisfied,Extremely satisfied,Extremely satisfied,Extremely satisfied,,,,
797,3/26/2024,21,Main,Senior,Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,Walk,Active,Walk,Walk,2 days,2,,0,0,,Region #6,Email,About right,Most of the time,,No: I have read nOne of the Rules and RegulatiOns,"other, please specify:",Probably yes,78666,636,540,"Free parking On a city or neighborhood street,Off-campus Pay to Park lot","Free parking on a city or neighborhood street, Off-campus PTP",No,,,"Permit cost is too high, Available parking is incOnvenient for me, Did not want to ride the Bobcat Shuttle from available parking, Rarely/never drive to campus",Available parking is incOnvenient for me,,,,,,,,,,,,,,,,,,NOne,Detractor,6,Somewhat satisfied,Extremely easy,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat satisfied,,,,
798,3/26/2024,22,Main,Senior,Asian,Female,Off,Off-Campus,Part-time,,,Yes,,"Drive, Bobcat Shuttle","Drive, Alternative",Drive,Drive,3 days,3,,45,30,Aquarena Springs,Region #7,Email,About right,Sometimes,Most of the time,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Probably yes,78727,846,538,"A university lot or garage - with the correct parking permit,Free parking On a city or neighborhood street,Downtown or On the Square","A university lot or garage - with the correct parking permit, Free parking on a city or neighborhood street, Downtown or On the Square",Yes,,,,,,,Bobcat Stadium West Lot (P10W),Lot most likely to have available spaces,Bobcat Stadium (P10W),Bobcat Stadium (P10W),Bobcat Stadium (P10W),,,,,,,,,My preferred lot does not get full,,,Detractor,4,Somewhat satisfied,Extremely easy,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Somewhat dissatisfied,,,,
799,3/26/2024,18,Main,Freshman,Hisp,Female,On,Tower Hall,Full-time,,,No,Yes,,,Walk,Walk,,,,,,,,Email,About right,Always,,Some: I have read some parts of the Rules and RegulatiOns,"other, please specify:",Probably yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,I have no suggestiOns,,,,,,,,,I dOn't own a vehicle,,,
800,3/26/2024,21,Main,Junior,Hisp,Female,Off,Off-Campus,Full-time,,Student Wage Worker,Yes,,Bobcat Shuttle,Alternative,Walk,Walk,0 days,0,,0,10,,,Email,About right,Sometimes,Most of the time,Some: I have read some parts of the Rules and RegulatiOns,Too long,Probably yes,78666,,,"A university lot or garage - with the correct parking permit,A university lot or garage - without the correct parking permit,The LBJ Student Center Parking Garage (pay by the hour)","A university lot or garage - with the correct parking permit, A university lot or garage - without the correct parking permit, LBJ PTP",No,,,"Permit cost is too high, Do not believe there is available parking, Available parking is incOnvenient for me, Rarely/never drive to campus",Do not believe there is available parking,,,,,,,,,,,,,,,,,,"Just make more commuter garages. Thank you! Too many green and red. And if you make purple, please make them closer to campus like in the middle. Why are they always On the outside of campus?",Detractor,3,Extremely satisfied,Somewhat easy,Extremely satisfied,Extremely satisfied,Neither satisfied nor dissatisfied,Extremely satisfied,,,,
801,3/26/2024,19,Main,Sophomore,White Non-Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,"Drive, Private Shuttle Bus","Drive, Alternative","Drive,Bobcat Shuttle,Walk","Drive, Bobcat Shuttle, Walk",4 days,4,,0,0,Hopkins,Region #6,Email,About right,About half the time,Most of the time,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Probably yes,78666,659,498,"A university lot or garage - with the correct parking permit,Free parking On a city or neighborhood street,The LBJ Student Center Parking Garage (pay by the hour),Off-campus Pay to Park lot,Accessible Parking","A university lot or garage - with the correct parking permit, Free parking on a city or neighborhood street, LBJ PTP, Off-campus PTP, Accessible Parking",Yes,,,,,,,Speck Garage (C13),Closest to class,"Bobcat Stadium East (P10E),Bobcat Stadium (P10W)","Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",,,,,,,,,,Circle until a space becomes available,5 to 15 minutes,More clear no parking signs and fresh paint On roads where parking is not allowed. Turn some red spots into commuter spots,Detractor,4,Somewhat satisfied,Somewhat easy,Extremely satisfied,Extremely satisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,,,,
802,3/26/2024,23,Main,Senior,White Non-Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,Drive,Drive,Drive,Drive,4 days,4,,0,0,N. LBJ Dr. at Sessom Dr.,,Email,About right,Always,,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Definitely not,78666,,,The LBJ Student Center Parking Garage (pay by the hour),LBJ PTP,Yes,,,,,,,"Other, please specify:",Closest to class,,,,,,,,,,,,Park in a Pay-to-Park garage,,I bought a pass I can’t even use so what’s the point of selling a pass when you pay thousands in tuitiOn and you have to walk 10 miles to class so stupid.,Detractor,0,Extremely dissatisfied,Somewhat difficult,Extremely dissatisfied,Extremely dissatisfied,Extremely dissatisfied,Extremely dissatisfied,,,,
803,3/26/2024,21,Main,Senior,Hisp,Male,Off,Off-Campus,Full-time,Veteran,,Yes,,"Drive, Carpool, Drop off, Uber/Lyft, Private Shuttle Bus","Drive, Alternative, Alternative, Alternative, Alternative","Drive,Bobcat Shuttle,Walk,Uber / Lyft,Catch a ride / Carpool","Drive, Bobcat Shuttle, Walk, Uber / Lyft, Catch a ride / Carpool",3 days,3,,0,5,Old Ranch Road 12,Region #6,Email,About right,Most of the time,,Some: I have read some parts of the Rules and RegulatiOns,Not interested,Might or might not,78666,651,551,"A university lot or garage - without the correct parking permit,Free parking On a city or neighborhood street,The LBJ Student Center Parking Garage (pay by the hour),The Edward Gary Parking Garage (pay by the hour),First available spot, regardless of restrictiOns,Downtown or On the Square,Off-campus Pay to Park lot,Accessible Parking","A university lot or garage - without the correct parking permit, Free parking on a city or neighborhood street, LBJ PTP, Edward Gary PTP, First available spot, Free parking on a city or neighborhood street, Downtown or On the Square, Off-campus PTP, Accessible Parking",No,,,"Permit cost is too high, Do not believe there is available parking",Do not believe there is available parking,,,,,,,,,,,,,,,,,,Add more Parking!!!! It's so simple and would make every student's life easier. Thank you!!!!,Detractor,0,Somewhat dissatisfied,Somewhat difficult,Somewhat dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,Extremely dissatisfied,,,Theres not enough parking!!!!!,A few times a month
804,3/26/2024,19,Main,Sophomore,White Non-Hisp,Female,On,Blanco Hall,Full-time,,,Yes,,,,"Drive,Walk","Drive, Walk",7 days,7,,,,,,Email,About right,Sometimes,Most of the time,No: I have read nOne of the Rules and RegulatiOns,Too long,Probably yes,,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,Green Residential Permit (more expensive),Green,,,,Convenience - I wanted more immediate access to my vehicle,,,,,,Yes,2-3 times a week,Blanco Garage (Lot 303),Woods Garage (Lot 108),,,,,Circle until a space becomes available,15 to 30 minutes,,Detractor,2,Somewhat dissatisfied,Somewhat easy,Somewhat dissatisfied,Extremely dissatisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,,,,
805,3/26/2024,21,Main,Junior,Unknown,Female,Off,Off-Campus,Full-time,,Student Wage Worker,Yes,,"Drive, Bobcat Shuttle","Drive, Alternative",Walk,Walk,3 days,3,,15,10,Other,,Email,About right,Most of the time,,Yes: I have read all of the Rules and RegulatiOns,,Probably yes,78130,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,,,,,,,Aquarena Springs (previously Coliseum) Lot (P9 ),Closest to class,Mill St (P12),Mill St (P12),Mill St (P12),,,,,,,,,Circle until a space becomes available,5 to 15 minutes,More parking spots because it is extremely hard to find spots in the Collesium parking lot and my car flooded when it rained there and was totaled.,Detractor,6,Extremely dissatisfied,Neither easy nor difficult,Extremely dissatisfied,Extremely dissatisfied,Somewhat satisfied,Extremely dissatisfied,,,,
806,3/26/2024,18,Main,Freshman,White Non-Hisp,Female,On,Chautauqua Hall,Full-time,,,Yes,,,,"Drive,Uber / Lyft","Drive, Uber / Lyft",7 days,7,,,,,,Text Message,Less than I would like,Never,Sometimes,No: I have read nOne of the Rules and RegulatiOns,I already know what I need to know,Probably not,,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,Green Residential Permit (more expensive),Green,,,,Convenience - I wanted more immediate access to my vehicle,,,,,,No,,Matthews Garage (Lot 113),,,,,,Circle until a space becomes available,Less than 5 minutes,,Detractor,4,Somewhat dissatisfied,Extremely easy,Extremely satisfied,Extremely satisfied,Somewhat dissatisfied,Somewhat dissatisfied,,,,A few times a month
807,3/26/2024,23,Main,Senior,White Non-Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,"Drive, Drop off","Drive, Alternative","Drive,Bobcat Shuttle,Walk","Drive, Bobcat Shuttle, Walk",3 days,3,,30,20,Hunter,,"Other, please specify:",More than I would like,Sometimes,Sometimes,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Probably yes,78133,,,"A university lot or garage - with the correct parking permit,The LBJ Student Center Parking Garage (pay by the hour)","A university lot or garage - with the correct parking permit, LBJ PTP",Yes,,,,,,,Speck Garage (C13),Lot that doesn't require riding the Bobcat Shuttle,"Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",Bobcat Stadium (P10W),Bobcat Stadium (P10W),,,,,,,,,Park in an available purple Perimeter (P) lot and ride the bus or walk.,,More commuter parking maybe,Detractor,5,Somewhat dissatisfied,Somewhat easy,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat satisfied,Extremely dissatisfied,,,JCM Art Building parking lot,
808,3/26/2024,20,Main,Junior,Black/Af Am,Female,Off,Off-Campus,Full-time,,,Yes,,Walk,Active,"Bobcat Shuttle,Walk","Bobcat Shuttle, Walk",0 days,0,,0,0,,,Social Media,More than I would like,Never,Never,Some: I have read some parts of the Rules and RegulatiOns,"other, please specify:",Probably yes,78666,,,I never drive to campus - I Only drive my car for nOn-university uses,Do not drive to campus,,,,,,,,,,,,,,,,,,,,,,,"My first semester no One told me how parking worked, i started in the summer and there was zero informatiOn given to me On how to even get a parking pass. I didn't even know where the parking service Office was. you guys got at least 300 dollars from me in parking tickets before realized the advice given to me through the parking services email was wrOng. I was told to apply for a green pass ($400 for a 4-week semester) while I was waiting to get approved for a green parking pass I was slapped with at least two more tickets. i had to figure out On my own that the Only way to really buy a pass at that point was the weekly pass and whenever I'd forget to renew it right On time id get another ticket. I didn't know i could appeal a ticket, I most certainly would have. There needs to be some kind of informatiOnal thing for transfer students starting in the summer. Also stop over-selling passes, During my year in the dorm I felt like i could never leave in my car because there would be NO PARKING available in the lot i paid almost $500 to park in. Its important that there are more reliable transportatiOn methods if you can't sustain the student body you are indebting your services to. I dOn't see how you can build more parking- you should probably tell the incoming freshman class that there is limited parking. the school would also greatly benefit from more busses, especially On the commuter route which always crowded and the busses take forever. In the quad, there is also a sidewalk that ends causing people who need to cross to do it illegally. There is no way to really fix that but could you put a pedestrian crossing sign up? I'm very surprised no One has been seriously injured. Fines dOn't need to be $45,  that's insane. When I was in the dorm i remember driving around for up to an hour in the parking garage looking for available parking, waiting for someOne to leave. If I worked late nights id be completely screwed and be forced to park in the small parking lot by the health center, and id most definitely get a ticket. There needs to be more parking for people with green passes if you're going to keep overselling. Mabye you should think about cOnverting a dorm into a parking garage and also making all the students sleep in their cars for 5k a semester. Just selling the green passes alOne would generate a enormous amount of profit that could be put towards reinforcing the roads and possibly building more parking. Or just letting people use the parking lots that are always empty.",,,,,,,,,,,,
809,3/26/2024,21,Main,Senior,White Non-Hisp,Female,Off,Off-Campus,Full-time,,,Yes,,"Drive, Bobcat Shuttle, Drop off","Drive, Alternative, Alternative",Walk,Walk,2 days,2,,15,0,Hopkins,,Text Message,About right,About half the time,Always,Some: I have read some parts of the Rules and RegulatiOns,Too long,Probably yes,78666,,,"A university lot or garage - with the correct parking permit,The LBJ Student Center Parking Garage (pay by the hour)","A university lot or garage - with the correct parking permit, LBJ PTP",Yes,,,,,,,Bobcat Stadium West Lot (P10W),Lot that doesn't require riding the Bobcat Shuttle,"Bobcat Stadium East (P10E),Bobcat Stadium (P10W)","Bobcat Stadium East (P10E),Bobcat Stadium (P10W)","Bobcat Stadium East (P10E),Bobcat Stadium (P10W)",,,,,,,,,Park in a Pay-to-Park garage,,,Detractor,6,Extremely satisfied,Somewhat easy,Somewhat satisfied,Somewhat satisfied,Somewhat satisfied,Extremely satisfied,,,ingram,
810,3/26/2024,18,Main,Freshman,White Non-Hisp,Male,On,Blanco Hall,Full-time,,,Yes,,,,"Drive,Bobcat Shuttle,Walk,Nite Cats","Drive, Bobcat Shuttle, Walk, Nite Cats",4 days,4,,,,,,Email,About right,Most of the time,,Some: I have read some parts of the Rules and RegulatiOns,I already know what I need to know,Definitely yes,,,,A university lot or garage - with the correct parking permit,A university lot or garage - with the correct parking permit,Yes,Green Residential Permit (more expensive),Green,,,,Convenience - I wanted more immediate access to my vehicle,,,,,,No,,Blanco Garage (Lot 303),,,,,,Park in an available purple Perimeter (P) lot and ride the bus or walk.,,,Detractor,2,Somewhat dissatisfied,Extremely difficult,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Somewhat dissatisfied,Somewhat dissatisfied,,,,
